,name,gender,hometown,age,education,income,experience,period,drawdown,debt,risk,attitude
1336,Maxine Sainsbury,2,Hong Kong,3,4,2,2,1,3,2,1,2
1337,Judith Steele,2,HK,5,3,2,4,3,4,2,4,2
1338,Matt Carpenter,1,Hong Kong,1,2,1,3,2,3,3,3,1
1339,Drew Moll,1,Canton,5,5,5,5,5,5,5,5,5
1340,Huo Yaling,2,Hong Kong,2,2,1,3,2,3,3,3,3
1341,Wallis Hobbes,2,Macao,5,3,5,5,3,3,3,3,3
1342,Dorothy Maxwell,2,Hong Kong,3,4,3,3,3,3,5,3,3
1343,Eudora IV.,2,Jiangsu,2,1,2,1,1,2,2,1,1
1344,Lennon Nell,1,Hong Kong,3,5,5,5,4,4,3,4,5
1345,Edwiin Sally,1,Hong Kong,1,3,1,1,1,1,1,1,1
1346,Celeste Harte,2,Hong Kong,4,2,4,5,2,2,2,2,2
1347,Will Turner,1,hk,4,4,3,5,3,3,3,2,2
1348,Leo Kit,1,HK,3,4,5,5,3,5,2,5,4
1349,Richard Lew,1,Taiwan,4,5,3,3,2,4,3,2,3
1350,Phoebe Henry,2,Hong Kong,5,4,3,3,2,3,3,3,4
1351,Pete Grey,1,Zhejiang,3,4,5,4,3,4,2,4,2
1352,Viola Snow,2,Shandong,2,2,1,4,4,4,3,5,3
1353,Leonard Windsor,1,Fujian,5,3,5,5,4,3,3,4,4
1354,Linda Butler,2,Shenzhen,4,5,5,5,4,4,4,3,3
1355,Zhu Zhou,1,Jiangsu,3,5,2,2,2,4,2,4,4
1356,Pandora Bertha,2,Hong Kong,3,2,3,2,2,3,3,2,2
1357,Barry Tate,1,Hong Kong,2,3,2,2,2,2,4,2,2
1358,Jessie Clark(e),2,Hong Kong,2,3,1,5,5,5,5,5,2
1359,Xun Jian,2,Myanmar,1,2,1,1,1,1,3,1,1
1360,Xie Jia,2,hk,3,3,3,1,2,1,5,3,5
1361,Morgan Wallis,1,Hong Kong,5,2,1,5,4,5,2,5,5
1362,Renata Rebecca,2,Hong Kong,2,4,2,1,1,2,1,1,1
1363,Duke Eugen,1,HK,3,4,4,5,4,4,2,4,4
1364,Blithe Lucy,1,Canton,3,3,4,4,3,4,3,4,1
1365,Len Conrad,1,HK,2,5,5,4,3,3,2,3,4
1366,Ursula Wilson,2,Hong Kong,2,1,3,4,2,2,2,1,2
1367,Honey Church,2,Hainan,3,5,3,2,2,3,2,2,2
1368,Alexia Hudson,2,Hong Kong,2,1,1,5,4,4,2,5,4
1369,Dorothy Maxwell,2,hk,3,3,3,1,1,2,3,2,4
1370,Liz Craigie,2,Shanxi,3,4,4,5,3,3,3,2,2
1371,Alston Flower,1,Hong Kong,2,3,2,2,2,2,4,2,2
1372,Han Fen,1,Hong Kong,2,4,4,3,2,3,3,3,2
1373,Zero Fox,1,Hong Kong,2,3,1,2,1,1,4,2,1
1374,Judith Hosea,2,Hong Kong,1,3,1,1,1,1,1,1,1
1375,Riva Pope,2,Hong Kong,3,3,2,5,2,2,2,1,1
1376,Martha Dunlop,2,Hong Kong,3,4,5,1,1,1,5,1,2
1377,Yvette Dan,2,Hong Kong,2,2,2,4,1,2,2,1,2
1378,Dominic Amelia,2,Hong Kong,3,2,4,5,3,3,3,2,3
1379,Pandora Parker,2,Hong Kong,3,4,4,5,3,3,3,2,2
1380,Cornelius Pound,1,HK,3,3,3,5,2,3,3,1,3
1381,Thera Field,2,hk,3,3,3,1,2,1,5,3,5
1382,Renata Rebecca,2,Hong Kong,3,4,2,3,2,2,5,3,1
1383,Cheng Yong,1,Canada,2,3,2,1,2,3,3,3,1
1384,Peter Melville,1,Shanghai,2,3,2,2,2,2,4,2,2
1385,Honey Thackeray,2,Hong Kong,4,4,4,5,3,4,4,2,4
1386,Hermosa Faulkner,2,hk,5,5,5,5,5,5,5,5,5
1387,Patricia Zechariah,2,Hong Kong,2,4,1,1,2,2,2,2,2
1388,Neil Arthur,1,hk,2,4,2,1,1,2,1,1,1
1389,Ren Yong,2,Shanghai,2,3,2,2,2,2,4,2,2
1390,Drew More,1,hk,2,4,2,1,1,2,1,1,1
1391,Meng Li,1,HK,2,3,2,2,2,2,4,2,2
1392,Sophia Bernard,2,Hong Kong,3,3,3,2,2,3,3,3,1
1393,Tao Ah,1,Hong Kong,2,1,2,1,1,2,2,1,1
1394,Beacher Milton,1,Wulongmuqi,3,4,2,3,2,2,5,3,1
1395,Xu Lingxin,2,Shenzhen,1,2,1,4,3,4,2,4,1
1396,Dinah Coffey,2,Hong Kong,2,4,3,4,3,4,2,4,3
1397,Zi Zhihao,2,Hong Kong,3,2,3,2,2,3,3,2,2
1398,Louis Agnes,1,Hong Kong,4,5,3,4,3,3,5,4,2
1399,Michael Anne,1,Hong Kong,2,4,4,3,2,3,3,3,3
1400,Luther Reynolds,1,HK,4,5,5,5,5,5,3,5,5
1401,Jane Philip,2,Hong Kong,1,3,1,1,1,2,1,2,2
1402,Quintina Jefferson,2,Hong Kong,3,3,2,5,2,2,2,1,1
1403,Woodrow Hobbes,1,hk,4,3,4,3,3,4,4,3,3
1404,Guo Qiang,1,Sichuan,3,4,5,1,1,1,4,1,2
1405,Solomon Christ,1,Hong Kong,1,3,1,1,1,2,1,2,2
1406,Will Barnard,1,Hong Kong,2,3,2,2,2,2,4,2,2
1407,Kimberley Jeremiah,2,Hong Kong,3,3,3,2,2,2,3,2,1
1408,Sylvia Priestley,2,Hong Kong,4,2,4,4,3,2,2,3,3
1409,Maggie Nahum,2,Jiangsu,3,4,2,3,2,2,5,3,1
1410,Alva Bessie,1,Jiangsu,3,4,2,3,2,2,5,3,1
1411,Una Benson,2,Beijing,3,3,3,1,2,1,5,3,5
1412,Steward Jordan,1,hk,3,4,4,5,3,3,3,2,2
1413,Su Liuxian,2,Hong Kong,5,5,5,5,5,5,5,5,5
1414,Xiang Cui,2,HK,3,3,3,1,2,1,5,3,5
1415,Evelyn Aled(k),2,Hong Kong,1,2,1,5,3,3,3,4,4
1416,Ethel Augustine,2,Hong Kong,2,4,3,4,2,3,2,4,3
1417,Modesty Palmer,2,HK,3,3,3,1,2,1,5,3,5
1418,Arlen Marlowe,1,Hong Kong,2,2,1,1,1,1,5,1,1
1419,Ren Jian,1,Hong Kong,4,2,4,4,3,2,2,3,3
1420,Enoch Larkin,1,Hong Kong,2,4,2,1,1,2,1,1,1
1421,Lorraine Shaw,2,Beijing,3,4,5,5,4,3,3,4,1
1422,Huo Mei,2,HK,4,4,4,1,1,1,4,1,2
1423,Dave Carllyle,1,Hong Kong,3,4,2,3,2,2,5,3,1
1424,Isabel Rosa,2,HK,3,4,5,3,2,3,5,3,3
1425,Maxine Sainsbury,2,HK,2,2,1,4,3,4,3,4,3
1426,Theobald Dryden,1,Hong Kong,5,5,5,5,5,5,5,5,5
1427,Belle May,2,HK,4,5,5,5,5,5,3,5,5
1428,Ivy Woolf,2,Hong Kong,3,5,2,2,3,3,3,3,3
1429,Pearl Maud,2,Hong Kong,2,3,1,2,1,1,4,2,1
1430,Emmanuel Hill,1,HK,5,3,3,5,5,5,1,5,5
1431,Herbert Haggai,1,Hong Kong,2,4,2,1,1,2,1,1,1
1432,Winfred MacArthur,1,Hubei,4,5,3,3,2,4,3,2,3
1433,Bishop Silas,1,Hong Kong,3,4,4,5,4,4,2,4,4
1434,Eve Obadiah,2,Hong Kong,1,3,1,1,1,2,1,2,2
1435,Aurora Samuel,2,Shenzhen,4,5,3,3,2,4,3,2,3
1436,Leonard Bronte,1,HK,5,4,4,4,4,4,3,4,3
1437,Shen Ah,2,Hong Kong,3,2,2,2,2,2,3,2,1
1438,Baron Young,1,Hong Kong,3,4,2,2,1,3,2,1,2
1439,Booth Ann,1,Hong Kong,1,3,1,1,1,1,1,1,1
1440,Shi Yang,2,Hong Kong,3,3,3,5,2,3,3,1,3
1441,Burgess Titus,1,Hong Kong,4,5,3,3,2,4,3,2,3
1442,Cao Yawen,2,Brunei,1,1,1,1,1,2,3,2,3
1443,Corey Baldwin,1,Chongqing,3,4,2,2,1,3,2,1,2
1444,Celeste Harte,2,Hong Kong,2,4,3,5,4,5,1,5,5
1445,Greg Acheson,1,Hong Kong,3,5,3,2,2,3,2,2,2
1446,Bart Maxwell,1,hk,3,4,3,3,3,3,5,3,3
1447,Madina Helpe,2,Hong Kong,3,2,4,5,3,3,3,2,3
1448,Nathan Rob,1,Hong Kong,3,4,5,2,2,2,3,2,1
1449,Myrna Wallis,2,Brunei,3,2,2,5,3,3,3,4,4
1450,Doreen Wolf,2,Hong Kong,3,4,2,3,2,2,5,3,1
1451,Mona Harriman,2,HK,3,2,4,5,3,3,3,2,3
1452,Wang Ming,2,hk,2,5,4,5,3,3,5,3,1
1453,Lang Wei,2,Hong Kong,3,3,3,5,4,4,2,5,5
1454,Steward Bell,1,Shenzhen,2,2,1,2,2,2,3,2,2
1455,Zou Delan,2,Indonesia,3,3,2,5,2,2,2,1,1
1456,Clyde Foster,1,Hong Kong,2,4,1,1,2,2,2,2,2
1457,Robert Leopold,1,Hong Kong,3,2,3,2,2,3,3,2,2
1458,Xie Jia,2,Hong Kong,5,4,3,5,3,3,3,4,2
1459,Omar Mond,1,Hong Kong,3,4,2,3,2,2,5,3,1
1460,Benjamin Joseph,1,Hong Kong,4,4,4,5,3,4,4,2,4
1461,Liao Zhou,2,HK,2,5,5,4,3,3,2,3,4
1462,Cornelius Gill,1,Hong Kong,1,3,1,1,1,1,1,1,1
1463,Angelo Adelaide,1,hk,2,4,1,1,1,3,1,3,3
1464,Murray Pansy,1,South Korea,5,5,5,5,5,5,5,5,5
1465,Zhao Tu,2,Hong Kong,5,4,3,5,4,4,2,4,2
1466,Veromca Benson,2,Hong Kong,3,4,5,2,2,3,5,3,3
1467,Barbara Lawrence,2,Hong Kong,4,3,5,5,4,4,4,3,4
1468,Yehudi Walker,1,Hong Kong,5,4,4,4,3,4,2,4,1
1469,Zara Eve,2,Hong Kong,4,5,5,5,5,5,3,5,5
1470,Zara Eve,2,Hong Kong,3,2,3,2,2,3,3,2,2
1471,Greg Acheson,1,hk,3,4,2,2,1,3,2,1,2
1472,Carter Michelson,1,Hong Kong,3,3,2,5,2,2,2,1,1
1473,Xing Xun,2,Hong Kong,2,3,3,4,2,2,2,1,1
1474,Herbert Richardson,1,Hong Kong,4,5,5,5,4,4,4,3,3
1475,Teresa Abraham,2,Hong Kong,2,5,4,5,3,4,3,4,4
1476,Susanna Alsop(p),2,HK,3,4,2,3,2,2,5,3,1
1477,Chen Fang,1,Macao,1,3,1,1,1,1,1,1,1
1478,Rudolf Stone,1,Zhejiang,4,2,4,5,2,2,2,2,2
1479,Andrea Kit,2,Taiwan,5,3,5,5,3,3,3,3,3
1480,Peter Melville,1,Hong Kong,3,2,3,2,2,3,3,2,2
1481,Dale Jonson,2,Taiwan,5,5,5,5,5,5,5,5,5
1482,Lauren Laurie,2,Hong Kong,5,4,3,5,3,4,2,4,5
1483,Wen Rong,2,Hong Kong,1,3,1,1,1,2,1,2,2
1484,Gene Flynn,1,Hong Kong,2,1,1,5,4,5,2,5,3
1485,Hunter Herbert,1,Canada,4,4,4,4,4,4,4,4,4
1486,Penelope Geoffrey,2,Hong Kong,5,3,5,5,3,3,3,3,3
1487,Huo Li,1,Hong Kong,3,3,2,5,2,2,2,1,1
1488,Zhang Zhihao,1,Hong Kong,3,2,3,3,2,3,3,3,1
1489,Norma Warner,2,Hong Kong,5,3,2,2,2,3,3,3,1
1490,Melissa Joel,2,Hebei,3,5,5,5,4,4,3,4,5
1491,Geoffrey Peacock,1,Hong Kong,4,4,4,4,4,4,4,4,4
1492,Wendell Emerson,1,Hong Kong,2,4,2,1,1,2,1,1,1
1493,Su Wei,1,Hong Kong,2,3,1,2,1,1,4,2,1
1494,Kenneth Hart,1,Hong Kong,4,2,4,5,2,2,2,2,2
1495,Kelly,2,Canada,3,4,4,5,3,3,3,2,2
1496,Yetta Doherty,2,Hong Kong,2,3,1,5,5,5,2,5,4
1497,Monica Edgeworth,2,Hong Kong,3,4,5,3,2,3,3,3,3
1498,Tab Leacock,1,Hong Kong,2,2,1,4,1,1,1,1,1
1499,Buck Bob,1,Hong Kong,4,5,3,4,3,3,5,4,2
1500,Robin Kelvin,1,Chinese mainland,2,4,1,1,1,3,1,3,3
1501,Lennon Nell,1,Hong Kong,3,4,2,2,1,3,2,1,2
1502,Cleveland Pullman,1,Hong Kong,4,3,4,3,3,4,4,3,3
1503,Hilda Frank,2,Yunnan,3,3,3,5,2,3,3,1,3
1504,Betty Reade,2,Hong Kong,2,5,5,4,3,3,2,3,4
1505,Beatrice Harte,2,Hong Kong,2,3,3,4,3,3,1,3,3
1506,Modesty Palmer,2,HK,2,1,3,4,2,2,2,1,2
1507,Darnell Dickens,1,Hong Kong,2,4,4,5,3,5,2,5,5
1508,Conrad Trevelyan,1,Hong Kong,4,2,4,5,2,2,2,2,2
1509,Meroy Chaucer,2,hk,2,4,3,2,2,2,3,2,1
1510,Rachel Rockefeller,1,hk,4,4,4,5,3,4,4,2,4
1511,Bradley Roosevelt,1,Shenzhen,3,5,5,4,4,4,3,5,2
1512,Catherine Dobbin,2,HK,2,4,2,1,1,2,1,1,1
1513,Darcy Agnes,1,HK,3,2,4,5,3,3,3,2,3
1514,Cecilia Huggins,2,Hong Kong,3,3,2,5,2,2,2,1,1
1515,Gavin Malachi,1,Taiwan,1,3,1,1,1,2,1,2,2
1516,Rock Trevelyan,1,Hong Kong,2,2,1,5,3,3,3,4,5
1517,Dempsey Woolf,1,Hong Kong,2,2,1,4,1,1,1,1,1
1518,Aurora Willard,2,Hong Kong,2,4,1,1,2,2,2,2,2
1519,Han Gengxin,1,Hong Kong,1,2,1,1,1,1,3,1,1
1520,Hou Fang,2,HK,3,4,4,5,4,4,2,4,4
1521,Zhang Guiying,2,Taiwan,3,2,3,2,2,3,3,2,2
1522,Nina McCarthy,2,Chinese mainland,4,4,4,2,3,2,5,4,5
1523,Webb Dodd,1,Hebei,3,3,2,5,2,2,2,1,1
1524,Tab Clement,1,Hong Kong,3,4,4,5,3,3,3,2,2
1525,Steward Jordan,1,Taiwan,2,3,1,1,1,2,1,1,1
1526,Jodie Hume,2,HK,5,5,5,5,5,5,5,5,5
1527,Carey Sam,1,Hong Kong,2,2,1,5,4,4,2,5,2
1528,Lu Shuren,2,hk,3,3,2,5,2,2,2,1,1
1529,Keith Simon,1,Hong Kong,2,2,1,2,2,2,3,2,1
1530,Miranda Max,2,Hong Kong,3,5,2,2,3,3,3,3,3
1531,Nelly Wilhelmina,2,Canada,2,2,1,4,1,1,1,1,1
1532,Liao Chang,2,Hong Kong,3,3,3,5,2,3,3,1,3
1533,Basil Den(n)is,1,Hong Kong,3,5,2,2,3,3,3,3,3
1534,Primo Geordie,1,Hong Kong,2,5,5,4,3,3,2,3,4
1535,Julie Felix,2,Hong Kong,5,5,5,5,5,5,5,5,5
1536,Mignon Hutt,2,Hong Kong,2,4,2,1,1,2,1,1,1
1537,Nydia Felix,2,Hong Kong,3,3,3,4,3,4,2,4,3
1538,Mahmud Niyaz,1,HK,2,5,5,4,3,3,2,3,4
1539,Qin Meng,1,Hong Kong,2,5,5,4,3,3,2,3,4
1540,Coral Belloc,2,Tianjin,2,2,2,4,1,2,2,1,2
1541,Julie Webster,2,Hong Kong,3,2,2,4,3,4,2,4,2
1542,Xiao Shui,1,Hong Kong,4,3,3,1,2,1,4,1,2
1543,Gustave Johnston(e),2,Hong Kong,3,2,2,5,5,5,1,5,5
1544,Kay Marcellus,2,England,2,4,2,1,1,2,1,1,1
1545,Joanne Haywood,2,Hong Kong,3,4,5,2,2,3,3,3,1
1546,Virginia Crichton,2,Hong Kong,5,2,1,1,2,2,4,2,2
1547,Steven Rhodes,1,Hong Kong,3,4,2,3,2,2,5,3,1
1548,Fabian Sally,1,hk,3,3,4,1,1,2,5,2,1
1549,Faithe Baldwin,2,Hunan,5,4,3,3,2,3,3,4,1
1550,Ingemar Halifax,1,Hong Kong,4,2,4,5,2,2,2,2,2
1551,Armand Bryce,1,Myanmar,3,2,4,5,3,3,3,2,3
1552,Amelia Sam,2,Hong Kong,1,3,1,1,1,1,1,1,1
1553,Fang Dan,2,England,2,4,1,1,2,2,2,2,2
1554,Lin Wen,2,Hong Kong,3,3,2,5,2,2,2,1,1
1555,Sibyl Coffey,2,Hong Kong,2,4,2,1,1,2,1,1,1
1556,Solomon Christ,1,HK,2,2,2,1,1,1,4,2,4
1557,Basil Den(n)is,1,Hong Kong,3,5,5,5,4,4,3,4,5
1558,Wen Rong,2,Beijing,4,4,3,5,3,3,3,2,2
1559,Cui Jun,2,Taiwan,4,4,4,5,3,4,4,2,4
1560,Griselda Bessie,2,Guangdong,3,4,4,5,3,3,3,2,2
1561,Xuan ZhenKang,2,hk,2,4,3,2,2,2,3,2,2
1562,Gwendolyn Noyes,2,Hong Kong,2,5,4,5,3,3,5,4,3
1563,Qiao Shufen,2,Shenzhen,5,4,3,2,2,2,5,2,2
1564,Arlene Owen,2,Shenzhen,3,4,5,3,2,3,3,3,3
1565,Penelope,2,Hong Kong,2,1,2,1,1,2,2,1,1
1566,Dai Xun,2,Hong Kong,2,4,3,5,3,3,3,4,5
1567,Phoenix Wyclif(fe),2,Hong Kong,4,2,4,4,3,2,2,3,3
1568,Maureen Den(n)is,2,Heilongjiang,1,2,1,4,3,4,2,4,2
1569,Bernie Winifred,1,Hong Kong,2,4,1,1,2,2,2,2,2
1570,Fan Jun,1,Hong Kong,2,5,5,1,1,1,4,1,2
1571,Neil Polly,1,Hong Kong,5,3,5,5,4,3,3,4,4
1572,Barbara Hughes,2,HK,3,4,4,5,4,4,2,4,4
1573,Joanne Haywood,2,Hong Kong,4,2,4,5,2,2,2,2,2
1574,Ada Hal,2,Hong Kong,3,4,2,2,1,3,2,1,2
1575,Hale Mike,1,Hong Kong,2,4,2,1,1,2,1,1,1
1576,Miriam Anderson,2,Hong Kong,3,5,2,2,2,4,2,4,4
1577,Kristin Madge,2,Macao,2,3,1,4,3,4,2,4,2
1578,Tina Anthony,2,HK,3,2,2,3,2,3,3,3,2
1579,Glenn Jim,1,HK,5,5,5,4,2,4,2,4,4
1580,Matthew Maugham,1,Hong Kong,5,3,5,5,3,3,3,3,3
1581,Atwood Raglan,1,Hong Kong,2,5,5,4,3,3,2,3,4
1582,Liao Zhou,2,Hong Kong,3,2,3,2,2,3,3,2,2
1583,Gregary Peter,1,Hong Kong,3,5,2,2,2,4,2,4,4
1584,Wordsworth Commons,1,Hong Kong,4,4,4,5,3,4,4,2,4
1585,Rita Charles,2,Hong Kong,2,4,3,1,1,2,3,2,4
1586,Maud Leighton,2,Macao,2,2,1,1,2,1,4,1,2
1587,Cecilia Huggins,2,Hong Kong,5,3,2,5,3,3,3,4,1
1588,Lyndon Benson,1,Shanxi,3,3,3,5,2,3,3,1,3
1589,Zebulon Tuttle,1,HK,3,2,3,2,2,3,3,2,2
1590,Anastasia Dickens,2,hk,2,3,1,4,3,4,3,4,2
1591,Malcolm Birrell,1,Hong Kong,2,3,1,2,1,1,4,2,1
1592,Eileen Robeson,2,Hong Kong,5,5,5,5,5,5,5,5,5
1593,Clark Finn,1,Hong Kong,3,3,2,5,2,2,2,1,1
1594,Lisa Gold,2,Jiangsu,5,3,5,5,4,3,3,4,4
1595,Max Service,1,Hong Kong,4,2,4,5,2,2,2,2,2
1596,Zhao Ya,2,HK,3,3,3,1,2,1,5,3,5
1597,Blanche Gibson,2,guangxi,3,4,5,5,5,5,2,5,2
1598,Xun Bao,1,Hong Kong,3,3,3,1,2,1,5,3,5
1599,Madge Murray,2,Hubei,5,4,3,3,2,3,3,3,1
1600,Sophia Bernard,2,Hong Kong,4,4,4,4,4,4,4,4,4
1601,Toby Zechariah,1,Mongolia,2,3,2,2,2,2,4,2,2
1602,Archibald Giles,1,Hong Kong,2,4,2,1,1,2,1,1,1
1603,Tang Lin,2,Hong Kong,2,4,3,1,1,1,4,1,1
1604,Gwendolyn Windsor,2,Hong Kong,2,5,4,4,3,3,5,4,3
1605,Elma Gard(i)ner,2,Jiangsu,3,2,3,2,2,3,3,2,2
1606,Kitty Dewey,2,Beijing,2,2,1,3,2,3,3,3,4
1607,Kenneth Hart,1,Macao,2,5,5,4,3,3,2,3,4
1608,Dean Nelly,1,Hong Kong,1,2,1,1,2,2,4,2,3
1609,Liang Yahui,2,Hong Kong,4,4,3,5,3,3,3,2,2
1610,Michael Grantham,1,Hong Kong,3,5,2,2,2,4,2,4,4
1611,Zhan Hanying,1,Hong Kong,2,4,2,1,1,2,1,1,1
1612,Karen Leopold,2,Macao,1,3,1,1,1,1,1,1,1
1613,Gabrielle Craigie,2,HK,2,4,3,3,2,3,3,3,3
1614,Sun Su,1,Hong Kong,3,3,4,5,3,5,1,5,5
1615,Molly Nelson,2,Hong Kong,3,4,4,5,4,4,2,4,4
1616,Marcia Stephens,2,Hong Kong,5,5,5,5,5,5,5,5,5
1617,Alberta Franklin,2,Guangdong,3,5,3,2,2,3,2,2,2
1618,Astrid FitzGerald,2,shenzhen,3,2,3,2,2,3,3,2,2
1619,Gregary Peter,1,Hainan,1,2,1,2,2,2,3,2,1
1620,Valerie Scripps,2,Thailand,3,5,3,2,2,3,2,2,2
1621,Geraldine Pulitzer,2,Hong Kong,1,1,1,4,2,3,2,4,4
1622,Leonard Windsor,1,Hong Kong,5,3,3,3,2,3,3,3,2
1623,Clark Finn,1,Hong Kong,3,5,2,2,2,4,2,4,4
1624,Peter Sonmerfield,1,HK,1,1,1,5,3,4,2,4,3
1625,Tiffany Doyle,2,Hong Kong,3,3,2,5,2,2,2,1,1
1626,Cheng Yong,1,guangxi,5,5,5,3,4,3,5,5,5
1627,Larry Wheeler,1,Hong Kong,3,2,4,5,3,3,3,2,3
1628,Marjorie Ricardo,2,Thailand,2,1,1,2,2,2,5,2,1
1629,Joy Jordan,2,Hong Kong,3,3,3,5,2,3,3,1,3
1630,April Wagner,2,Hong Kong,3,4,5,3,2,3,3,3,2
1631,Ansel Webb,1,Hong Kong,4,2,4,5,2,2,2,2,2
1632,Vicky Andrew,2,Macao,4,3,5,5,4,4,4,3,4
1633,Jason Tout,1,Hong Kong,3,2,3,5,5,5,1,5,4
1634,Lang Jia,1,Hong Kong,5,4,4,4,2,3,3,3,2
1635,Ishikura Kuri,1,Hong Kong,2,2,1,4,1,1,1,1,1
1636,Arlen Houston,1,Hong Kong,4,2,4,5,2,2,2,2,2
1637,Gabrielle Craigie,2,Malaysia,3,5,3,2,2,3,2,2,2
1638,Honey Thackeray,2,Zhejiang,2,4,2,1,1,2,1,1,1
1639,Dick Bentham,1,HK,2,2,2,1,1,1,4,2,4
1640,Sun Ning,1,Hong Kong,2,1,2,1,1,2,2,1,1
1641,Dylan Eugen,1,Hong Kong,2,4,4,1,1,3,3,3,3
1642,Vivien Maurice,2,Hong Kong,3,3,3,1,2,1,5,3,5
1643,Ken Felton,1,Shandong,3,4,5,5,5,5,2,5,4
1644,Dinah Lyly,2,Indonesia,3,2,2,4,3,4,5,4,2
1645,Jessica Dickens,2,Hebei,2,5,4,1,1,2,4,2,2
1646,Rosemary Malan,2,Shanxi,3,3,3,3,2,3,3,4,1
1647,Ida Morse,2,Hong Kong,4,2,4,5,2,2,2,2,2
1648,Ellis Howard,1,Chinese mainland,3,4,4,5,3,3,3,2,2
1649,Bruce Hamlet,1,HK,4,4,3,5,3,3,3,2,2
1650,Clarence Jane,1,Shanghai,3,4,2,3,2,2,5,3,1
1651,Howar Smollett,1,Zhejiang,3,3,2,5,2,2,2,1,1
1652,Ira Watt,1,Indonesia,2,3,3,4,3,3,1,3,3
1653,Elliot Whit,1,Hong Kong,2,4,4,4,4,4,3,5,2
1654,Sean Daniel,1,Hong Kong,2,3,2,4,2,3,5,3,2
1655,Wan Hui,1,Taiwan,2,5,5,2,2,2,5,2,2
1656,Lewis Tout,1,Macao,3,4,5,1,2,2,4,2,1
1657,Geng Yating,1,Hong Kong,2,4,4,1,2,2,3,2,1
1658,Grace Juliana,2,Hebei,2,5,5,4,3,3,2,3,4
1659,Quan ZhenKang,1,Hong Kong,1,2,2,3,1,1,1,1,1
1660,Zhen Shi,2,Hong Kong,3,4,4,5,4,4,2,4,4
1661,Lance Isabel,1,Hong Kong,3,4,4,5,3,3,3,2,2
1662,Fang Wei,1,hk,4,2,4,5,2,2,2,2,2
1663,Zhu Lan,2,Hong Kong,2,4,1,1,2,2,2,2,2
1664,Bertram Dolly,1,Hong Kong,3,3,3,1,2,1,5,3,5
1665,Ternence Smedley,1,hk,2,3,2,2,2,2,4,2,2
1666,Mandy Lee,2,Hong Kong,2,4,2,1,1,2,1,1,1
1667,Jennifer Hemingway,2,Hong Kong,2,4,3,3,2,3,3,3,3
1668,Mehmet Qasim,1,Hong Kong,1,2,1,1,1,1,3,1,1
1669,Chen Xinyue,2,hk,3,4,5,2,2,3,3,3,4
1670,Joanne Jenkin(s),2,Hebei,5,4,3,4,2,3,2,4,5
1671,Sam Stilwell,1,Hong Kong,2,4,2,1,1,2,1,1,1
1672,Edgar Becher,1,Taiwan,3,4,4,5,3,3,3,2,2
1673,Carey Sam,1,Hong Kong,2,1,2,3,1,1,1,1,1
1674,Ronald Eipstein,1,Hong Kong,2,4,2,1,1,2,1,1,1
1675,Xia Huo,1,Hong Kong,3,4,4,5,3,3,3,2,2
1676,Amanda Child,2,Mongolia,5,5,5,5,5,5,5,5,5
1677,Fay Childe,2,Hong Kong,1,3,1,1,1,1,1,1,1
1678,Renata Rebecca,2,Hong Kong,3,2,3,2,2,3,3,2,2
1679,Channing Yule,1,Chinese mainland,2,5,5,4,3,3,2,3,4
1680,Ansel Coleridge,1,England,3,3,4,1,1,1,4,1,2
1681,Reg Bruno,1,Hong Kong,3,4,5,3,2,3,3,3,4
1682,Dean Margery,1,Canton,3,5,3,2,2,3,2,2,2
1683,Alma Penn,2,Shandong,5,3,5,5,4,3,3,4,4
1684,Alva Moore,2,HK,1,2,1,3,2,3,5,3,4
1685,Jessie North,2,Hong Kong,3,4,4,5,4,4,2,4,4
1686,Stanley Bertha,1,Hong Kong,2,4,1,1,1,3,1,3,3
1687,Elliot Whit,1,Hong Kong,2,3,3,4,3,3,1,3,3
1688,Nick Addison,1,Mongolia,4,3,3,2,2,2,3,2,2
1689,Jonathan Gus,1,Shenzhen,3,2,4,5,3,3,3,2,3
1690,Quintion Jean,1,Hong Kong,1,3,1,1,1,2,1,2,2
1691,Hazel Spencer,2,hk,2,3,1,2,2,2,3,2,2
1692,Madge Murray,2,Foshan,4,4,4,5,3,4,4,2,4
1693,Jenny Cissie,2,Hong Kong,3,2,4,5,3,3,3,2,3
1694,Shao Guiying,1,Shandong,2,2,1,1,1,1,4,1,1
1695,Katsuragi Yoshimune,1,Hong Kong,3,4,5,3,2,3,3,3,1
1696,Kelly Doherty,1,Canada,3,4,4,5,3,3,3,2,2
1697,Walter Patrick,1,Shanghai,1,2,2,3,1,1,1,1,1
1698,Chang Qing,1,Hong Kong,1,1,1,5,4,4,2,4,2
1699,Sabrina Gold,2,Canada,2,3,1,4,2,3,3,3,1
1700,Sharon Bruno,2,hk,3,4,4,5,4,4,2,4,4
1701,Leopold Evan,1,Hong Kong,2,2,1,1,1,2,3,2,4
1702,Renee Aldridge,2,Hong Kong,3,4,4,5,3,3,3,2,2
1703,Blanche Gibson,2,Hong Kong,1,4,4,3,2,2,1,2,3
1704,Zachary Nancy,1,Hong Kong,5,5,4,5,4,4,4,3,3
1705,Ada Senior,2,Hong Kong,3,4,4,5,3,3,3,2,2
1706,Joyce Van,1,HK,3,3,2,5,2,2,2,1,1
1707,Yu Hong,2,Hong Kong,3,2,2,1,1,1,4,1,2
1708,Sigrid Johnson,2,Shandong,3,4,2,2,1,3,2,1,2
